ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price
1,4.7k,"R2,R3,R4,R5",R0805,4,0805W8F4701T5E,UniOhm,LCSC,C17673,0.003
2,JST-SH-4,"J1,J2",JST-SH-4-RA,2,SM04B-SRSS-TB(LF)(SN),JST,Digi-Key,455-1804-1-ND,
3,HDR-M-2.54_1x4,"J3,J4",HDR-M-2.54_1X4,2,,,LCSC,C124378,0.035
4,LED-0805_G,"LED1,LED2",LED0805_GREEN,2,NCD0805G1,国星光电,,C84260,0.022
5,"BSP89,115","Q1,Q2",SOT-223_L6.5-W3.5-P2.30-LS7.0-BR,2,"BSP89,115",Nexperia(安世),LCSC,C549747,0.474
6,150,R1,R0805,1,0805W8F1500T5E,UniOhm,LCSC,C17471,0.003
7,330,R6,R0805,1,0805W8F3300T5E,UniOhm,LCSC,C17630,0.002
8,SS-12F44-G5,"SW1,SW2",SW-TH_SS-12F44-G5,2,SS-12F44-G5,Rectangular Connectors - Contacts,LCSC,C136718,0.102
9,TEENSYLC,U2,TEENSYLC,1,,,,,
